"DIAG","DIAG_DESC","DIAG_C","DIAG_5"
9.00,"INFECTIOUS ENTERITIS NOS","009.0","0090"
9.10,"ENTERITIS OF INFECT ORIG","009.1","0091"
9.20,"INFECTIOUS DIARRHEA NOS","009.2","0092"
9.30,"DIARRHEA OF INFECT ORIG","009.3","0093"
10.00,"PRIM TB COMPLEX-UNSPEC","010.00","01000"
10.01,"PRIM TB COMPLEX-NO EXAM","010.01","01001"
10.02,"PRIM TB COMPLEX-EXM UNKN","010.02","01002"
10.03,"PRIM TB COMPLEX-MICRO DX","010.03","01003"
10.04,"PRIM TB COMPLEX-CULT DX","010.04","01004"
10.05,"PRIM TB COMPLEX-HISTO DX","010.05","01005"
10.06,"PRIM TB COMPLEX-OTH TEST","010.06","01006"
10.10,"PRIM TB PLEURISY-UNSPEC","010.10","01010"
10.11,"PRIM TB PLEURISY-NO EXAM","010.11","01011"
10.12,"PRIM TB PLEUR-EXAM UNKN","010.12","01012"
10.13,"PRIM TB PLEURIS-MICRO DX","010.13","01013"
10.14,"PRIM TB PLEURISY-CULT DX","010.14","01014"
10.15,"PRIM TB PLEURIS-HISTO DX","010.15","01015"
10.16,"PRIM TB PLEURIS-OTH TEST","010.16","01016"
10.80,"PRIM PROG TB NEC-UNSPEC","010.80","01080"
10.81,"PRIM PROG TB NEC-NO EXAM","010.81","01081"
10.82,"PRIM PR TB NEC-EXAM UNKN","010.82","01082"
10.83,"PRIM PRG TB NEC-MICRO DX","010.83","01083"
10.84,"PRIM PROG TB NEC-CULT DX","010.84","01084"
10.85,"PRIM PRG TB NEC-HISTO DX","010.85","01085"
10.86,"PRIM PRG TB NEC-OTH TEST","010.86","01086"
10.90,"PRIMARY TB NOS-UNSPEC","010.90","01090"
10.91,"PRIMARY TB NOS-NO EXAM","010.91","01091"
10.92,"PRIMARY TB NOS-EXAM UNKN","010.92","01092"
10.93,"PRIMARY TB NOS-MICRO DX","010.93","01093"
10.94,"PRIMARY TB NOS-CULT DX","010.94","01094"
10.95,"PRIMARY TB NOS-HISTO DX","010.95","01095"
10.96,"PRIMARY TB NOS-OTH TEST","010.96","01096"
11.00,"TB LUNG INFILTR-UNSPEC","011.00","01100"
11.01,"TB LUNG INFILTR-NO EXAM","011.01","01101"
11.02,"TB LUNG INFILTR-EXM UNKN","011.02","01102"
11.03,"TB LUNG INFILTR-MICRO DX","011.03","01103"
11.04,"TB LUNG INFILTR-CULT DX","011.04","01104"
11.05,"TB LUNG INFILTR-HISTO DX","011.05","01105"
11.06,"TB LUNG INFILTR-OTH TEST","011.06","01106"
11.10,"TB LUNG NODULAR-UNSPEC","011.10","01110"
11.11,"TB LUNG NODULAR-NO EXAM","011.11","01111"
11.12,"TB LUNG NODUL-EXAM UNKN","011.12","01112"
11.13,"TB LUNG NODULAR-MICRO DX","011.13","01113"
11.14,"TB LUNG NODULAR-CULT DX","011.14","01114"
11.15,"TB LUNG NODULAR-HISTO DX","011.15","01115"
11.16,"TB LUNG NODULAR-OTH TEST","011.16","01116"
11.20,"TB LUNG W CAVITY-UNSPEC","011.20","01120"
11.21,"TB LUNG W CAVITY-NO EXAM","011.21","01121"
11.22,"TB LUNG CAVITY-EXAM UNKN","011.22","01122"
11.23,"TB LUNG W CAVIT-MICRO DX","011.23","01123"
11.24,"TB LUNG W CAVITY-CULT DX","011.24","01124"
11.25,"TB LUNG W CAVIT-HISTO DX","011.25","01125"
11.26,"TB LUNG W CAVIT-OTH TEST","011.26","01126"
11.30,"TB OF BRONCHUS-UNSPEC","011.30","01130"
11.31,"TB OF BRONCHUS-NO EXAM","011.31","01131"
11.32,"TB OF BRONCHUS-EXAM UNKN","011.32","01132"
11.33,"TB OF BRONCHUS-MICRO DX","011.33","01133"
11.34,"TB OF BRONCHUS-CULT DX","011.34","01134"
11.35,"TB OF BRONCHUS-HISTO DX","011.35","01135"
11.36,"TB OF BRONCHUS-OTH TEST","011.36","01136"
11.40,"TB LUNG FIBROSIS-UNSPEC","011.40","01140"
11.41,"TB LUNG FIBROSIS-NO EXAM","011.41","01141"
11.42,"TB LUNG FIBROS-EXAM UNKN","011.42","01142"
11.43,"TB LUNG FIBROS-MICRO DX","011.43","01143"
11.44,"TB LUNG FIBROSIS-CULT DX","011.44","01144"
11.45,"TB LUNG FIBROS-HISTO DX","011.45","01145"
11.46,"TB LUNG FIBROS-OTH TEST","011.46","01146"
11.50,"TB BRONCHIECTASIS-UNSPEC","011.50","01150"
11.51,"TB BRONCHIECT-NO EXAM","011.51","01151"
11.52,"TB BRONCHIECT-EXAM UNKN","011.52","01152"
11.53,"TB BRONCHIECT-MICRO DX","011.53","01153"
11.54,"TB BRONCHIECT-CULT DX","011.54","01154"
11.55,"TB BRONCHIECT-HISTO DX","011.55","01155"
11.56,"TB BRONCHIECT-OTH TEST","011.56","01156"
11.60,"TB PNEUMONIA-UNSPEC","011.60","01160"
11.61,"TB PNEUMONIA-NO EXAM","011.61","01161"
11.62,"TB PNEUMONIA-EXAM UNKN","011.62","01162"
11.63,"TB PNEUMONIA-MICRO DX","011.63","01163"
11.64,"TB PNEUMONIA-CULT DX","011.64","01164"
11.65,"TB PNEUMONIA-HISTO DX","011.65","01165"
11.66,"TB PNEUMONIA-OTH TEST","011.66","01166"
11.70,"TB PNEUMOTHORAX-UNSPEC","011.70","01170"
11.71,"TB PNEUMOTHORAX-NO EXAM","011.71","01171"
11.72,"TB PNEUMOTHORX-EXAM UNKN","011.72","01172"
11.73,"TB PNEUMOTHORAX-MICRO DX","011.73","01173"
11.74,"TB PNEUMOTHORAX-CULT DX","011.74","01174"
11.75,"TB PNEUMOTHORAX-HISTO DX","011.75","01175"
11.76,"TB PNEUMOTHORAX-OTH TEST","011.76","01176"
11.80,"PULMONARY TB NEC-UNSPEC","011.80","01180"
11.81,"PULMONARY TB NEC-NO EXAM","011.81","01181"
11.82,"PULMON TB NEC-EXAM UNKN","011.82","01182"
11.83,"PULMON TB NEC-MICRO DX","011.83","01183"
11.84,"PULMON TB NEC-CULT DX","011.84","01184"
11.85,"PULMON TB NEC-HISTO DX","011.85","01185"
11.86,"PULMON TB NEC-OTH TEST","011.86","01186"
11.90,"PULMONARY TB NOS-UNSPEC","011.90","01190"
11.91,"PULMONARY TB NOS-NO EXAM","011.91","01191"
11.92,"PULMON TB NOS-EXAM UNKN","011.92","01192"
11.93,"PULMON TB NOS-MICRO DX","011.93","01193"
11.94,"PULMON TB NOS-CULT DX","011.94","01194"
11.95,"PULMON TB NOS-HISTO DX","011.95","01195"
11.96,"PULMON TB NOS-OTH TEST","011.96","01196"
12.00,"TB PLEURISY-UNSPEC","012.00","01200"
12.01,"TB PLEURISY-NO EXAM","012.01","01201"
12.02,"TB PLEURISY-EXAM UNKN","012.02","01202"
12.03,"TB PLEURISY-MICRO DX","012.03","01203"
12.04,"TB PLEURISY-CULT DX","012.04","01204"
12.05,"TB PLEURISY-HISTOLOG DX","012.05","01205"
12.06,"TB PLEURISY-OTH TEST","012.06","01206"
12.10,"TB THORACIC NODES-UNSPEC","012.10","01210"
12.11,"TB THORAX NODE-NO EXAM","012.11","01211"
12.12,"TB THORAX NODE-EXAM UNKN","012.12","01212"
12.13,"TB THORAX NODE-MICRO DX","012.13","01213"
12.14,"TB THORAX NODE-CULT DX","012.14","01214"
12.15,"TB THORAX NODE-HISTO DX","012.15","01215"
12.16,"TB THORAX NODE-OTH TEST","012.16","01216"
12.20,"ISOL TRACHEAL TB-UNSPEC","012.20","01220"
12.21,"ISOL TRACHEAL TB-NO EXAM","012.21","01221"
12.22,"ISOL TRACH TB-EXAM UNKN","012.22","01222"
12.23,"ISOLAT TRACH TB-MICRO DX","012.23","01223"
12.24,"ISOL TRACHEAL TB-CULT DX","012.24","01224"
12.25,"ISOLAT TRACH TB-HISTO DX","012.25","01225"
12.26,"ISOLAT TRACH TB-OTH TEST","012.26","01226"
12.30,"TB LARYNGITIS-UNSPEC","012.30","01230"
12.31,"TB LARYNGITIS-NO EXAM","012.31","01231"
12.32,"TB LARYNGITIS-EXAM UNKN","012.32","01232"
12.33,"TB LARYNGITIS-MICRO DX","012.33","01233"
12.34,"TB LARYNGITIS-CULT DX","012.34","01234"
12.35,"TB LARYNGITIS-HISTO DX","012.35","01235"
12.36,"TB LARYNGITIS-OTH TEST","012.36","01236"
12.80,"RESP TB NEC-UNSPEC","012.80","01280"
12.81,"RESP TB NEC-NO EXAM","012.81","01281"
12.82,"RESP TB NEC-EXAM UNKN","012.82","01282"
12.83,"RESP TB NEC-MICRO DX","012.83","01283"
12.84,"RESP TB NEC-CULT DX","012.84","01284"
12.85,"RESP TB NEC-HISTO DX","012.85","01285"
12.86,"RESP TB NEC-OTH TEST","012.86","01286"
13.00,"TB MENINGITIS-UNSPEC","013.00","01300"
13.01,"TB MENINGITIS-NO EXAM","013.01","01301"
13.02,"TB MENINGITIS-EXAM UNKN","013.02","01302"
13.03,"TB MENINGITIS-MICRO DX","013.03","01303"
13.04,"TB MENINGITIS-CULT DX","013.04","01304"
13.05,"TB MENINGITIS-HISTO DX","013.05","01305"
13.06,"TB MENINGITIS-OTH TEST","013.06","01306"
13.10,"TUBRCLMA MENINGES-UNSPEC","013.10","01310"
13.11,"TUBRCLMA MENING-NO EXAM","013.11","01311"
13.12,"TUBRCLMA MENIN-EXAM UNKN","013.12","01312"
13.13,"TUBRCLMA MENING-MICRO DX","013.13","01313"
13.14,"TUBRCLMA MENING-CULT DX","013.14","01314"
13.15,"TUBRCLMA MENING-HISTO DX","013.15","01315"
13.16,"TUBRCLMA MENING-OTH TEST","013.16","01316"
13.20,"TUBERCULOMA BRAIN-UNSPEC","013.20","01320"
13.21,"TUBRCLOMA BRAIN-NO EXAM","013.21","01321"
13.22,"TUBRCLMA BRAIN-EXAM UNKN","013.22","01322"
13.23,"TUBRCLOMA BRAIN-MICRO DX","013.23","01323"
13.24,"TUBRCLOMA BRAIN-CULT DX","013.24","01324"
13.25,"TUBRCLOMA BRAIN-HISTO DX","013.25","01325"
13.26,"TUBRCLOMA BRAIN-OTH TEST","013.26","01326"
13.30,"TB BRAIN ABSCESS-UNSPEC","013.30","01330"
13.31,"TB BRAIN ABSCESS-NO EXAM","013.31","01331"
13.32,"TB BRAIN ABSC-EXAM UNKN","013.32","01332"
13.33,"TB BRAIN ABSC-MICRO DX","013.33","01333"
13.34,"TB BRAIN ABSCESS-CULT DX","013.34","01334"
13.35,"TB BRAIN ABSC-HISTO DX","013.35","01335"
13.36,"TB BRAIN ABSC-OTH TEST","013.36","01336"
13.40,"TUBRCLMA SP CORD-UNSPEC","013.40","01340"
13.41,"TUBRCLMA SP CORD-NO EXAM","013.41","01341"
13.42,"TUBRCLMA SP CD-EXAM UNKN","013.42","01342"
13.43,"TUBRCLMA SP CRD-MICRO DX","013.43","01343"
13.44,"TUBRCLMA SP CORD-CULT DX","013.44","01344"
13.45,"TUBRCLMA SP CRD-HISTO DX","013.45","01345"
13.46,"TUBRCLMA SP CRD-OTH TEST","013.46","01346"
13.50,"TB SP CRD ABSCESS-UNSPEC","013.50","01350"
13.51,"TB SP CRD ABSC-NO EXAM","013.51","01351"
13.52,"TB SP CRD ABSC-EXAM UNKN","013.52","01352"
13.53,"TB SP CRD ABSC-MICRO DX","013.53","01353"
13.54,"TB SP CRD ABSC-CULT DX","013.54","01354"
13.55,"TB SP CRD ABSC-HISTO DX","013.55","01355"
13.56,"TB SP CRD ABSC-OTH TEST","013.56","01356"
13.60,"TB ENCEPHALITIS-UNSPEC","013.60","01360"
13.61,"TB ENCEPHALITIS-NO EXAM","013.61","01361"
13.62,"TB ENCEPHALIT-EXAM UNKN","013.62","01362"
13.63,"TB ENCEPHALITIS-MICRO DX","013.63","01363"
13.64,"TB ENCEPHALITIS-CULT DX","013.64","01364"
13.65,"TB ENCEPHALITIS-HISTO DX","013.65","01365"
13.66,"TB ENCEPHALITIS-OTH TEST","013.66","01366"
13.80,"CNS TB NEC-UNSPEC","013.80","01380"
13.81,"CNS TB NEC-NO EXAM","013.81","01381"
13.82,"CNS TB NEC-EXAM UNKN","013.82","01382"
13.83,"CNS TB NEC-MICRO DX","013.83","01383"
13.84,"CNS TB NEC-CULT DX","013.84","01384"
13.85,"CNS TB NEC-HISTO DX","013.85","01385"
13.86,"CNS TB NEC-OTH TEST","013.86","01386"
13.90,"CNS TB NOS-UNSPEC","013.90","01390"
13.91,"CNS TB NOS-NO EXAM","013.91","01391"
13.92,"CNS TB NOS-EXAM UNKN","013.92","01392"
13.93,"CNS TB NOS-MICRO DX","013.93","01393"
13.94,"CNS TB NOS-CULT DX","013.94","01394"
13.95,"CNS TB NOS-HISTO DX","013.95","01395"
13.96,"CNS TB NOS-OTH TEST","013.96","01396"
14.00,"TB PERITONITIS-UNSPEC","014.00","01400"
14.01,"TB PERITONITIS-NO EXAM","014.01","01401"
14.02,"TB PERITONITIS-EXAM UNKN","014.02","01402"
14.03,"TB PERITONITIS-MICRO DX","014.03","01403"
14.04,"TB PERITONITIS-CULT DX","014.04","01404"
14.05,"TB PERITONITIS-HISTO DX","014.05","01405"
14.06,"TB PERITONITIS-OTH TEST","014.06","01406"
14.80,"INTESTINAL TB NEC-UNSPEC","014.80","01480"
14.81,"INTESTIN TB NEC-NO EXAM","014.81","01481"
14.82,"INTEST TB NEC-EXAM UNKN","014.82","01482"
14.83,"INTESTIN TB NEC-MICRO DX","014.83","01483"
14.84,"INTESTIN TB NEC-CULT DX","014.84","01484"
14.85,"INTESTIN TB NEC-HISTO DX","014.85","01485"
14.86,"INTESTIN TB NEC-OTH TEST","014.86","01486"
15.00,"TB OF VERTEBRA-UNSPEC","015.00","01500"
15.01,"TB OF VERTEBRA-NO EXAM","015.01","01501"
15.02,"TB OF VERTEBRA-EXAM UNKN","015.02","01502"
15.03,"TB OF VERTEBRA-MICRO DX","015.03","01503"
15.04,"TB OF VERTEBRA-CULT DX","015.04","01504"
15.05,"TB OF VERTEBRA-HISTO DX","015.05","01505"
15.06,"TB OF VERTEBRA-OTH TEST","015.06","01506"
15.10,"TB OF HIP-UNSPEC","015.10","01510"
15.11,"TB OF HIP-NO EXAM","015.11","01511"
15.12,"TB OF HIP-EXAM UNKN","015.12","01512"
15.13,"TB OF HIP-MICRO DX","015.13","01513"
15.14,"TB OF HIP-CULT DX","015.14","01514"
15.15,"TB OF HIP-HISTO DX","015.15","01515"
15.16,"TB OF HIP-OTH TEST","015.16","01516"
15.20,"TB OF KNEE-UNSPEC","015.20","01520"
15.21,"TB OF KNEE-NO EXAM","015.21","01521"
15.22,"TB OF KNEE-EXAM UNKN","015.22","01522"
15.23,"TB OF KNEE-MICRO DX","015.23","01523"
15.24,"TB OF KNEE-CULT DX","015.24","01524"
15.25,"TB OF KNEE-HISTO DX","015.25","01525"
15.26,"TB OF KNEE-OTH TEST","015.26","01526"
15.50,"TB OF LIMB BONES-UNSPEC","015.50","01550"
15.51,"TB LIMB BONES-NO EXAM","015.51","01551"
15.52,"TB LIMB BONES-EXAM UNKN","015.52","01552"
15.53,"TB LIMB BONES-MICRO DX","015.53","01553"
15.54,"TB LIMB BONES-CULT DX","015.54","01554"
15.55,"TB LIMB BONES-HISTO DX","015.55","01555"
15.56,"TB LIMB BONES-OTH TEST","015.56","01556"
15.60,"TB OF MASTOID-UNSPEC","015.60","01560"
15.61,"TB OF MASTOID-NO EXAM","015.61","01561"
15.62,"TB OF MASTOID-EXAM UNKN","015.62","01562"
15.63,"TB OF MASTOID-MICRO DX","015.63","01563"
15.64,"TB OF MASTOID-CULT DX","015.64","01564"
15.65,"TB OF MASTOID-HISTO DX","015.65","01565"
15.66,"TB OF MASTOID-OTH TEST","015.66","01566"
15.70,"TB OF BONE NEC-UNSPEC","015.70","01570"
15.71,"TB OF BONE NEC-NO EXAM","015.71","01571"
15.72,"TB OF BONE NEC-EXAM UNKN","015.72","01572"
15.73,"TB OF BONE NEC-MICRO DX","015.73","01573"
15.74,"TB OF BONE NEC-CULT DX","015.74","01574"
15.75,"TB OF BONE NEC-HISTO DX","015.75","01575"
15.76,"TB OF BONE NEC-OTH TEST","015.76","01576"
15.80,"TB OF JOINT NEC-UNSPEC","015.80","01580"
15.81,"TB OF JOINT NEC-NO EXAM","015.81","01581"
15.82,"TB JOINT NEC-EXAM UNKN","015.82","01582"
15.83,"TB OF JOINT NEC-MICRO DX","015.83","01583"
15.84,"TB OF JOINT NEC-CULT DX","015.84","01584"
15.85,"TB OF JOINT NEC-HISTO DX","015.85","01585"
15.86,"TB OF JOINT NEC-OTH TEST","015.86","01586"
15.90,"TB BONE/JOINT NOS-UNSPEC","015.90","01590"
15.91,"TB BONE/JT NOS-NO EXAM","015.91","01591"
15.92,"TB BONE/JT NOS-EXAM UNKN","015.92","01592"
15.93,"TB BONE/JT NOS-MICRO DX","015.93","01593"
15.94,"TB BONE/JT NOS-CULT DX","015.94","01594"
15.95,"TB BONE/JT NOS-HISTO DX","015.95","01595"
15.96,"TB BONE/JT NOS-OTH TEST","015.96","01596"
16.00,"TB OF KIDNEY-UNSPEC","016.00","01600"
16.01,"TB OF KIDNEY-NO EXAM","016.01","01601"
16.02,"TB OF KIDNEY-EXAM UNKN","016.02","01602"
16.03,"TB OF KIDNEY-MICRO DX","016.03","01603"
16.04,"TB OF KIDNEY-CULT DX","016.04","01604"
16.05,"TB OF KIDNEY-HISTO DX","016.05","01605"
16.06,"TB OF KIDNEY-OTH TEST","016.06","01606"
16.10,"TB OF BLADDER-UNSPEC","016.10","01610"
16.11,"TB OF BLADDER-NO EXAM","016.11","01611"
16.12,"TB OF BLADDER-EXAM UNKN","016.12","01612"
16.13,"TB OF BLADDER-MICRO DX","016.13","01613"
16.14,"TB OF BLADDER-CULT DX","016.14","01614"
16.15,"TB OF BLADDER-HISTO DX","016.15","01615"
16.16,"TB OF BLADDER-OTH TEST","016.16","01616"
16.20,"TB OF URETER-UNSPEC","016.20","01620"
16.21,"TB OF URETER-NO EXAM","016.21","01621"
16.22,"TB OF URETER-EXAM UNKN","016.22","01622"
16.23,"TB OF URETER-MICRO DX","016.23","01623"
16.24,"TB OF URETER-CULT DX","016.24","01624"
16.25,"TB OF URETER-HISTO DX","016.25","01625"
16.26,"TB OF URETER-OTH TEST","016.26","01626"
16.30,"TB URINARY NEC-UNSPEC","016.30","01630"
16.31,"TB URINARY NEC-NO EXAM","016.31","01631"
16.32,"TB URINARY NEC-EXAM UNKN","016.32","01632"
16.33,"TB URINARY NEC-MICRO DX","016.33","01633"
16.34,"TB URINARY NEC-CULT DX","016.34","01634"
16.35,"TB URINARY NEC-HISTO DX","016.35","01635"
16.36,"TB URINARY NEC-OTH TEST","016.36","01636"
16.40,"TB EPIDIDYMIS-UNSPEC","016.40","01640"
16.41,"TB EPIDIDYMIS-NO EXAM","016.41","01641"
16.42,"TB EPIDIDYMIS-EXAM UNKN","016.42","01642"
16.43,"TB EPIDIDYMIS-MICRO DX","016.43","01643"
16.44,"TB EPIDIDYMIS-CULT DX","016.44","01644"
16.45,"TB EPIDIDYMIS-HISTO DX","016.45","01645"
16.46,"TB EPIDIDYMIS-OTH TEST","016.46","01646"
16.50,"TB MALE GENIT NEC-UNSPEC","016.50","01650"
16.51,"TB MALE GEN NEC-NO EXAM","016.51","01651"
16.52,"TB MALE GEN NEC-EX UNKN","016.52","01652"
16.53,"TB MALE GEN NEC-MICRO DX","016.53","01653"
16.54,"TB MALE GEN NEC-CULT DX","016.54","01654"
16.55,"TB MALE GEN NEC-HISTO DX","016.55","01655"
16.56,"TB MALE GEN NEC-OTH TEST","016.56","01656"
16.60,"TB OVARY & TUBE-UNSPEC","016.60","01660"
16.61,"TB OVARY & TUBE-NO EXAM","016.61","01661"
16.62,"TB OVARY/TUBE-EXAM UNKN","016.62","01662"
16.63,"TB OVARY & TUBE-MICRO DX","016.63","01663"
16.64,"TB OVARY & TUBE-CULT DX","016.64","01664"
16.65,"TB OVARY & TUBE-HISTO DX","016.65","01665"
16.66,"TB OVARY & TUBE-OTH TEST","016.66","01666"
16.70,"TB FEMALE GEN NEC-UNSPEC","016.70","01670"
16.71,"TB FEM GEN NEC-NO EXAM","016.71","01671"
16.72,"TB FEM GEN NEC-EXAM UNKN","016.72","01672"
16.73,"TB FEM GEN NEC-MICRO DX","016.73","01673"
16.74,"TB FEM GEN NEC-CULT DX","016.74","01674"
16.75,"TB FEM GEN NEC-HISTO DX","016.75","01675"
16.76,"TB FEM GEN NEC-OTH TEST","016.76","01676"
16.90,"GU TB NOS-UNSPEC","016.90","01690"
16.91,"GU TB NOS-NO EXAM","016.91","01691"
16.92,"GU TB NOS-EXAM UNKN","016.92","01692"
16.93,"GU TB NOS-MICRO DX","016.93","01693"
16.94,"GU TB NOS-CULT DX","016.94","01694"
16.95,"GU TB NOS-HISTO DX","016.95","01695"
16.96,"GU TB NOS-OTH TEST","016.96","01696"
17.00,"TB SKIN/SUBCUTAN-UNSPEC","017.00","01700"
17.01,"TB SKIN/SUBCUT-NO EXAM","017.01","01701"
17.02,"TB SKIN/SUBCUT-EXAM UNKN","017.02","01702"
17.03,"TB SKIN/SUBCUT-MICRO DX","017.03","01703"
17.04,"TB SKIN/SUBCUT-CULT DX","017.04","01704"
17.05,"TB SKIN/SUBCUT-HISTO DX","017.05","01705"
17.06,"TB SKIN/SUBCUT-OTH TEST","017.06","01706"
17.10,"ERYTHEMA NODOS TB-UNSPEC","017.10","01710"
17.11,"ERYTHEM NODOS TB-NO EXAM","017.11","01711"
17.12,"ERYTHEM NOD TB-EXAM UNKN","017.12","01712"
17.13,"ERYTHEM NOD TB-MICRO DX","017.13","01713"
17.14,"ERYTHEM NODOS TB-CULT DX","017.14","01714"
17.15,"ERYTHEM NOD TB-HISTO DX","017.15","01715"
17.16,"ERYTHEM NOD TB-OTH TEST","017.16","01716"
17.20,"TB PERIPH LYMPH-UNSPEC","017.20","01720"
17.21,"TB PERIPH LYMPH-NO EXAM","017.21","01721"
17.22,"TB PERIPH LYMPH-EXAM UNK","017.22","01722"
17.23,"TB PERIPH LYMPH-MICRO DX","017.23","01723"
17.24,"TB PERIPH LYMPH-CULT DX","017.24","01724"
17.25,"TB PERIPH LYMPH-HISTO DX","017.25","01725"
17.26,"TB PERIPH LYMPH-OTH TEST","017.26","01726"
17.30,"TB OF EYE-UNSPEC","017.30","01730"
17.31,"TB OF EYE-NO EXAM","017.31","01731"
17.32,"TB OF EYE-EXAM UNKN","017.32","01732"
17.33,"TB OF EYE-MICRO DX","017.33","01733"
17.34,"TB OF EYE-CULT DX","017.34","01734"
17.35,"TB OF EYE-HISTO DX","017.35","01735"
17.36,"TB OF EYE-OTH TEST","017.36","01736"
17.40,"TB OF EAR-UNSPEC","017.40","01740"
17.41,"TB OF EAR-NO EXAM","017.41","01741"
17.42,"TB OF EAR-EXAM UNKN","017.42","01742"
17.43,"TB OF EAR-MICRO DX","017.43","01743"
17.44,"TB OF EAR-CULT DX","017.44","01744"
17.45,"TB OF EAR-HISTO DX","017.45","01745"
17.46,"TB OF EAR-OTH TEST","017.46","01746"
17.50,"TB OF THYROID-UNSPEC","017.50","01750"
17.51,"TB OF THYROID-NO EXAM","017.51","01751"
17.52,"TB OF THYROID-EXAM UNKN","017.52","01752"
17.53,"TB OF THYROID-MICRO DX","017.53","01753"
17.54,"TB OF THYROID-CULT DX","017.54","01754"
17.55,"TB OF THYROID-HISTO DX","017.55","01755"
17.56,"TB OF THYROID-OTH TEST","017.56","01756"
